Id;Descripcion;Nombre;Longitud
642;5/3/15;Zona C-D-E - Torreta D2 - Plaza C15 - Umbral estado corriente 1;1 bit
643;5/3/16;Zona C-D-E - Torreta D2 - Plaza C16 - Umbral estado corriente 1;1 bit
644;5/3/17;Zona C-D-E - Torreta D3 - Plaza C17 - Umbral estado corriente 1;1 bit
645;5/3/18;Zona C-D-E - Torreta D3 - Plaza C18 - Umbral estado corriente 1;1 bit
646;5/3/19;Zona C-D-E - Torreta D4 - Plaza C19 - Umbral estado corriente 1;1 bit
647;5/3/20;Zona C-D-E - Torreta D4- Plaza C20 - Umbral estado corriente 1;1 bit
648;5/4;Zona F-G;
649;5/4/1;Zona F-G - Bungalow 1 - Plaza B01 - Umbral estado corriente 1;1 bit
650;5/4/2;Zona F-G - Bungalow 2 - Plaza B02 - Umbral estado corriente 1;1 bit
651;5/4;Zona F-G;
652;5/4/3;Zona F-G - Bungalow 3 - Plaza B03 - Umbral estado corriente 1;1 bit
653;5/4/4;Zona F-G - Bungalow 4 - Plaza B04 - Umbral estado corriente 1;1 bit
654;5/4/5;Zona F-G - Bungalow 5 - Plaza B05 - Umbral estado corriente 1;1 bit
655;5/4/6;Zona F-G - Bungalow 6 - Plaza B06 - Umbral estado corriente 1;1 bit
656;5/4/7;Zona F-G - Bungalow 7 - Plaza B07 - Umbral estado corriente 1;1 bit
657;5/4/8;Zona F-G - Bungalow 8 - Plaza B08 - Umbral estado corriente 1;1 bit
658;5/4/9;Zona F-G - Bungalow 9 - Plaza B09 - Umbral estado corriente 1;1 bit
659;5/5;Zona H;
660;5/5/1;Zona H - Torreta H1 - Plaza D01 - Umbral estado corriente 1;1 bit
661;5/5/2;Zona H - Torreta H1 - Plaza D02 - Umbral estado corriente 1;1 bit
662;5/5/3;Zona H - Torreta H2 - Plaza D03 - Umbral estado corriente 1;1 bit
663;5/5/4;Zona H - Torreta H2 - Plaza D04 - Umbral estado corriente 1;1 bit
664;5/5/5;Zona H - Torreta H3 - Plaza D05 - Umbral estado corriente 1;1 bit
665;5/5/6;Zona H - Torreta H3 - Plaza D06 - Umbral estado corriente 1;1 bit
666;5/5/7;Zona H - Torreta H4 - Plaza D07 - Umbral estado corriente 1;1 bit
667;5/5/8;Zona H - Torreta H4 - Plaza D08 - Umbral estado corriente 1;1 bit
668;5/5/9;Zona H - Torreta H5 - Plaza D09 - Umbral estado corriente 1;1 bit
669;5/5/10;Zona H - Torreta H5 - Plaza D10 - Umbral estado corriente 1;1 bit
670;5/5/11;Zona H - Torreta H5 - Plaza D11 - Umbral estado corriente 1;1 bit
671;5/6;Zona I;
672;5/6/1;Zona I - Torreta I1 - Plaza D12 - Umbral estado corriente 1;1 bit
673;5/6/2;Zona I - Torreta I1 - Plaza D13 - Umbral estado corriente 1;1 bit
674;5/6/3;Zona I - Torreta I2 - Plaza D14 - Umbral estado corriente 1;1 bit
675;5/6/4;Zona I - Torreta I2 - Plaza D15 - Umbral estado corriente 1;1 bit
676;5/6;Zona I;
677;5/6/5;Zona I - Torreta I3 - Plaza D16 - Umbral estado corriente 1;1 bit
678;5/6/6;Zona I - Torreta I3 - Plaza D17 - Umbral estado corriente 1;1 bit
679;5/6/7;Zona I - Torreta I4 - Plaza D18 - Umbral estado corriente 1;1 bit
680;5/6/8;Zona I - Torreta I4 - Plaza D19 - Umbral estado corriente 1;1 bit
681;5/6/9;Zona I - Torreta I5 - Plaza D20 - Umbral estado corriente 1;1 bit
682;5/6/10;Zona I - Torreta I5 - Plaza D21 - Umbral estado corriente 1;1 bit
683;5/6/11;Zona I - Torreta I6 - Plaza D22 - Umbral estado corriente 1;1 bit
684;5/6/12;Zona I - Torreta I6 - Plaza D23 - Umbral estado corriente 1;1 bit
685;5/7;Zona J-K;
686;5/7/1;Zona J-K - Torreta J1 - Plaza E01 - Umbral estado corriente 1;1 bit
687;5/7/2;Zona J-K - Torreta J1 - Plaza E02 - Umbral estado corriente 1;1 bit
688;5/7/3;Zona J-K - Torreta J2 - Plaza E03 - Umbral estado corriente 1;1 bit
689;5/7/4;Zona J-K - Torreta J2 - Plaza E04 - Umbral estado corriente 1;1 bit
690;5/7/5;Zona J-K - Torreta J3 - Plaza E05 - Umbral estado corriente 1;1 bit
691;5/7/6;Zona J-K - Torreta J3 - Plaza E06 - Umbral estado corriente 1;1 bit
692;5/7/7;Zona J-K - Torreta J4 - Plaza E07 - Umbral estado corriente 1;1 bit
693;5/7/8;Zona J-K - Torreta J4 - Plaza E08 - Umbral estado corriente 1;1 bit
694;5/7/9;Zona J-K - Torreta J5 - Plaza E09 - Umbral estado corriente 1;1 bit
695;5/7/10;Zona J-K - Torreta J5 - Plaza E10 - Umbral estado corriente 1;1 bit
696;5/7/11;Zona J-K - Torreta J6 - Plaza E11 - Umbral estado corriente 1;1 bit
697;5/7/12;Zona J-K - Torreta J6 - Plaza E12 - Umbral estado corriente 1;1 bit
698;5/7/13;Zona J-K - Torreta J7 - Plaza E13 - Umbral estado corriente 1;1 bit
699;5/7/14;Zona J-K - Torreta J7 - Plaza E14 - Umbral estado corriente 1;1 bit
700;5/7;Zona J-K;
701;5/7/15;Zona J-K - Torreta J8 - Plaza E15 - Umbral estado corriente 1;1 bit
702;5/7/16;Zona J-K - Torreta J8 - Plaza E16 - Umbral estado corriente 1;1 bit
703;5/7/17;Zona J-K - Torreta J9 - Plaza E17 - Umbral estado corriente 1;1 bit
704;5/7/18;Zona J-K - Torreta J9 - Plaza E18 - Umbral estado corriente 1;1 bit
705;6;Torretas - Umbral estado corriente 2;
706;6/0;Zona A;
707;6/0/1;Zona A - Torreta A1 - Plaza A01 - Umbral estado corriente 2;1 bit
708;6/0/2;Zona A - Torreta A1 - Plaza A02 - Umbral estado corriente 2;1 bit
709;6/0/3;Zona A - Torreta A1 - Plaza A03 - Umbral estado corriente 2;1 bit
710;6/0/4;Zona A - Torreta A2 - Plaza A04 - Umbral estado corriente 2;1 bit
711;6/0/5;Zona A - Torreta A2 - Plaza A05 - Umbral estado corriente 2;1 bit
712;6/0/6;Zona A - Torreta A3 - Plaza A06 - Umbral estado corriente 2;1 bit
713;6/0/7;Zona A - Torreta A3 - Plaza A07 - Umbral estado corriente 2;1 bit
714;6/0/8;Zona A - Torreta A4 - Plaza A08 - Umbral estado corriente 2;1 bit
715;6/0/9;Zona A - Torreta A4 - Plaza A09 - Umbral estado corriente 2;1 bit
716;6/0/10;Zona A - Torreta A5 - Plaza A10 - Umbral estado corriente 2;1 bit
717;6/0/11;Zona A - Torreta A5 - Plaza A11 - Umbral estado corriente 2;1 bit
718;6/0/12;Zona A - Torreta A6 - Plaza A12 - Umbral estado corriente 2;1 bit
719;6/0/13;Zona A - Torreta A6 - Plaza A13 - Umbral estado corriente 2;1 bit
720;6/0/14;Zona A - Torreta A7 - Plaza A14 - Umbral estado corriente 2;1 bit
721;6/0/15;Zona A - Torreta A7 - Plaza A15 - Umbral estado corriente 2;1 bit
722;6/0/16;Zona A - Torreta A8 - Plaza A16 - Umbral estado corriente 2;1 bit
723;6/0/17;Zona A - Torreta A8 - Plaza A17 - Umbral estado corriente 2;1 bit
724;6/0/18;Zona A - Torreta A8 - Plaza A18 - Umbral estado corriente 2;1 bit
725;6/1;Zona B;
726;6/1/1;Zona B - Torreta B1 - Plaza A19 - Umbral estado corriente 2;1 bit
727;6/1/2;Zona B - Torreta B1 - Plaza A20 - Umbral estado corriente 2;1 bit
728;6/1/3;Zona B - Torreta B2 - Plaza A21 - Umbral estado corriente 2;1 bit
729;6/1/4;Zona B - Torreta B2 - Plaza A22 - Umbral estado corriente 2;1 bit
730;6/1/5;Zona B - Torreta B3 - Plaza A23 - Umbral estado corriente 2;1 bit
731;6/1/6;Zona B - Torreta B3 - Plaza A24 - Umbral estado corriente 2;1 bit
732;6/1/7;Zona B - Torreta B4 - Plaza A25 - Umbral estado corriente 2;1 bit
733;6/1/8;Zona B - Torreta B4 - Plaza A26 - Umbral estado corriente 2;1 bit
734;6/1/9;Zona B - Torreta B5 - Plaza A27 - Umbral estado corriente 2;1 bit
735;6/1/10;Zona B - Torreta B5 - Plaza A28 - Umbral estado corriente 2;1 bit
736;6/1/11;Zona B - Torreta B6 - Plaza A29/30 - Umbral estado corriente 2;1 bit
737;6/2;Zona X;
738;6/2/1;Zona X - Torreta X1 - Plaza X01 - Umbral estado corriente 2;1 bit
739;6/2/2;Zona X - Torreta X1 - Plaza X02 - Umbral estado corriente 2;1 bit
740;6/2/3;Zona X - Torreta X1 - Plaza X03 - Umbral estado corriente 2;1 bit
741;6/2/4;Zona X - Torreta X2 - Plaza X04 - Umbral estado corriente 2;1 bit
742;6/2/5;Zona X - Torreta X2 - Plaza X05 - Umbral estado corriente 2;1 bit
743;6/2/6;Zona X - Torreta X2 - Plaza X06 - Umbral estado corriente 2;1 bit
744;6/3;Zona C-D-E;
745;6/3/1;Zona C-D-E - Torreta C1 - Plaza C01 - Umbral estado corriente 2;1 bit
746;6/3/2;Zona C-D-E - Torreta C1 - Plaza C02 - Umbral estado corriente 2;1 bit
747;6/3/3;Zona C-D-E - Torreta C2 - Plaza C03 - Umbral estado corriente 2;1 bit
748;6/3/4;Zona C-D-E - Torreta C2 - Plaza C04 - Umbral estado corriente 2;1 bit
749;6/3/5;Zona C-D-E - Torreta C3 - Plaza C05 - Umbral estado corriente 2;1 bit
750;6/3;Zona C-D-E;
751;6/3/6;Zona C-D-E - Torreta C3 - Plaza C06 - Umbral estado corriente 2;1 bit
752;6/3/7;Zona C-D-E - Torreta C4 - Plaza C07 - Umbral estado corriente 2;1 bit
753;6/3/8;Zona C-D-E - Torreta C4 - Plaza C08 - Umbral estado corriente 2;1 bit
754;6/3/9;Zona C-D-E - Torreta C5 - Plaza C09 - Umbral estado corriente 2;1 bit
755;6/3/10;Zona C-D-E - Torreta C5 - Plaza C10 - Umbral estado corriente 2;1 bit
756;6/3/11;Zona C-D-E - Torreta C6 - Plaza C11 - Umbral estado corriente 2;1 bit
757;6/3/12;Zona C-D-E - Torreta C6 - Plaza C12 - Umbral estado corriente 2;1 bit
758;6/3/13;Zona C-D-E - Torreta D1 - Plaza C13 - Umbral estado corriente 2;1 bit
759;6/3/14;Zona C-D-E - Torreta D1 - Plaza C14 - Umbral estado corriente 2;1 bit
760;6/3/15;Zona C-D-E - Torreta D2 - Plaza C15 - Umbral estado corriente 2;1 bit
761;6/3/16;Zona C-D-E - Torreta D2 - Plaza C16 - Umbral estado corriente 2;1 bit
762;6/3/17;Zona C-D-E - Torreta D3 - Plaza C17 - Umbral estado corriente 2;1 bit
763;6/3/18;Zona C-D-E - Torreta D3 - Plaza C18 - Umbral estado corriente 2;1 bit
764;6/3/19;Zona C-D-E - Torreta D4 - Plaza C19 - Umbral estado corriente 2;1 bit
765;6/3/20;Zona C-D-E - Torreta D4- Plaza C20 - Umbral estado corriente 2;1 bit
766;6/4;Zona F-G;
767;6/4/1;Zona F-G - Bungalow 1 - Plaza B01 - Umbral estado corriente 2;1 bit
768;6/4/2;Zona F-G - Bungalow 2 - Plaza B02 - Umbral estado corriente 2;1 bit
769;6/4/3;Zona F-G - Bungalow 3 - Plaza B03 - Umbral estado corriente 2;1 bit
770;6/4/4;Zona F-G - Bungalow 4 - Plaza B04 - Umbral estado corriente 2;1 bit
771;6/4/5;Zona F-G - Bungalow 5 - Plaza B05 - Umbral estado corriente 2;1 bit
772;6/4/6;Zona F-G - Bungalow 6 - Plaza B06 - Umbral estado corriente 2;1 bit
773;6/4/7;Zona F-G - Bungalow 7 - Plaza B07 - Umbral estado corriente 2;1 bit
774;6/4;Zona F-G;
775;6/4/8;Zona F-G - Bungalow 8 - Plaza B08 - Umbral estado corriente 2;1 bit
776;6/4/9;Zona F-G - Bungalow 9 - Plaza B09 - Umbral estado corriente 2;1 bit
777;6/5;Zona H;
778;6/5/1;Zona H - Torreta H1 - Plaza D01 - Umbral estado corriente 2;1 bit
779;6/5/2;Zona H - Torreta H1 - Plaza D02 - Umbral estado corriente 2;1 bit
780;6/5/3;Zona H - Torreta H2 - Plaza D03 - Umbral estado corriente 2;1 bit
781;6/5/4;Zona H - Torreta H2 - Plaza D04 - Umbral estado corriente 2;1 bit
782;6/5/5;Zona H - Torreta H3 - Plaza D05 - Umbral estado corriente 2;1 bit
783;6/5/6;Zona H - Torreta H3 - Plaza D06 - Umbral estado corriente 2;1 bit
784;6/5/7;Zona H - Torreta H4 - Plaza D07 - Umbral estado corriente 2;1 bit
785;6/5/8;Zona H - Torreta H4 - Plaza D08 - Umbral estado corriente 2;1 bit
786;6/5/9;Zona H - Torreta H5 - Plaza D09 - Umbral estado corriente 2;1 bit
787;6/5/10;Zona H - Torreta H5 - Plaza D10 - Umbral estado corriente 2;1 bit
788;6/5/11;Zona H - Torreta H5 - Plaza D11 - Umbral estado corriente 2;1 bit
789;6/6;Zona I;
790;6/6/1;Zona I - Torreta I1 - Plaza D12 - Umbral estado corriente 2;1 bit
791;6/6/2;Zona I - Torreta I1 - Plaza D13 - Umbral estado corriente 2;1 bit
792;6/6/3;Zona I - Torreta I2 - Plaza D14 - Umbral estado corriente 2;1 bit
793;6/6/4;Zona I - Torreta I2 - Plaza D15 - Umbral estado corriente 2;1 bit
794;6/6/5;Zona I - Torreta I3 - Plaza D16 - Umbral estado corriente 2;1 bit
795;6/6/6;Zona I - Torreta I3 - Plaza D17 - Umbral estado corriente 2;1 bit
796;6/6/7;Zona I - Torreta I4 - Plaza D18 - Umbral estado corriente 2;1 bit
797;6/6/8;Zona I - Torreta I4 - Plaza D19 - Umbral estado corriente 2;1 bit
798;6/6/9;Zona I - Torreta I5 - Plaza D20 - Umbral estado corriente 2;1 bit
799;6/6;Zona I;
800;6/6/10;Zona I - Torreta I5 - Plaza D21 - Umbral estado corriente 2;1 bit
801;6/6/11;Zona I - Torreta I6 - Plaza D22 - Umbral estado corriente 2;1 bit
802;6/6/12;Zona I - Torreta I6 - Plaza D23 - Umbral estado corriente 2;1 bit
803;6/7;Zona J-K;
804;6/7/1;Zona J-K - Torreta J1 - Plaza E01 - Umbral estado corriente 2;1 bit
805;6/7/2;Zona J-K - Torreta J1 - Plaza E02 - Umbral estado corriente 2;1 bit
806;6/7/3;Zona J-K - Torreta J2 - Plaza E03 - Umbral estado corriente 2;1 bit
807;6/7/4;Zona J-K - Torreta J2 - Plaza E04 - Umbral estado corriente 2;1 bit
808;6/7/5;Zona J-K - Torreta J3 - Plaza E05 - Umbral estado corriente 2;1 bit
809;6/7/6;Zona J-K - Torreta J3 - Plaza E06 - Umbral estado corriente 2;1 bit
810;6/7/7;Zona J-K - Torreta J4 - Plaza E07 - Umbral estado corriente 2;1 bit
811;6/7/8;Zona J-K - Torreta J4 - Plaza E08 - Umbral estado corriente 2;1 bit
812;6/7/9;Zona J-K - Torreta J5 - Plaza E09 - Umbral estado corriente 2;1 bit
813;6/7/10;Zona J-K - Torreta J5 - Plaza E10 - Umbral estado corriente 2;1 bit
814;6/7/11;Zona J-K - Torreta J6 - Plaza E11 - Umbral estado corriente 2;1 bit
815;6/7/12;Zona J-K - Torreta J6 - Plaza E12 - Umbral estado corriente 2;1 bit
816;6/7/13;Zona J-K - Torreta J7 - Plaza E13 - Umbral estado corriente 2;1 bit
817;6/7/14;Zona J-K - Torreta J7 - Plaza E14 - Umbral estado corriente 2;1 bit
818;6/7/15;Zona J-K - Torreta J8 - Plaza E15 - Umbral estado corriente 2;1 bit
819;6/7/16;Zona J-K - Torreta J8 - Plaza E16 - Umbral estado corriente 2;1 bit
820;6/7/17;Zona J-K - Torreta J9 - Plaza E17 - Umbral estado corriente 2;1 bit
821;6/7/18;Zona J-K - Torreta J9 - Plaza E18 - Umbral estado corriente 2;1 bit
822;10;Varios;
823;10/0;Torretas Grupos;
824;10/0/0;GR. Plazas A;1 bit
825;10/0;Torretas Grupos;
826;10/0/1;GR. Plazas X;1 bit
827;10/0/2;GR. Plazas C;1 bit
828;10/0/3;GR. Plazas B;1 bit
829;10/0/4;GR. Plazas C;1 bit
830;10/0/5;GR. Plazas D;1 bit
831;10/0/6;GR. Plazas E;1 bit
832;10/0/7;GR. Torretas general;1 bit
833;10/1;Iluminacin Vial;
834;10/1/0;Vial. Iluminacin. A - On/Off;1 bit
835;10/1/1;Vial. Iluminacin. B - On/Off;1 bit
836;10/1/2;Vial. Iluminacin. X - On/Off;1 bit
837;10/1/3;Vial. Iluminacin. C-D-E - On/Off;1 bit
838;10/1/4;Vial. Iluminacin. F-G - On/Off;1 bit
839;10/1/5;Vial. Iluminacin. H - On/Off;1 bit
840;10/1/6;Vial. Iluminacin. I - On/Off;1 bit
841;10/1/7;Vial. Iluminacin. J-K - On/Off;1 bit
842;10/1/8;Vial. Iluminacin. General - On/Off;1 bit
843;10/1/9;Vial. Iluminacin. entrada - On/Off;1 bit
844;10/2;Iluminacin Vial - Estados;
845;10/2/0;Vial. Iluminacin. A - Estado;1 bit
846;10/2/1;Vial. Iluminacin. B - Estado;1 bit
847;10/2/2;Vial. Iluminacin. X - Estado;1 bit
848;10/2/3;Vial. Iluminacin. C-D-E - Estado;1 bit
849;10/2/4;Vial. Iluminacin. F-G - Estado;1 bit
850;10/2/5;Vial. Iluminacin. H - Estado;1 bit
851;10/2/6;Vial. Iluminacin. I - Estado;1 bit
852;10/2/7;Vial. Iluminacin. J-K - Estado;1 bit
853;10/2/8;Vial. Iluminacin. General - Estado;
854;10/2/9;Vial. Iluminacin. entrada - Estado;1 bit
855;15;Torretas;
856;15/0;Zona A;
857;15/0/1;Zona A - Torreta A1 - Plaza A01;
858;15/0/2;Zona A - Torreta A1 - Plaza A02;
859;15/0/3;Zona A - Torreta A1 - Plaza A03;
860;15/0/4;Zona A - Torreta A2 - Plaza A04;
861;15/0/5;Zona A - Torreta A2 - Plaza A05;
862;15/0/6;Zona A - Torreta A3 - Plaza A06;
863;15/0/7;Zona A - Torreta A3 - Plaza A07;
864;15/0/8;Zona A - Torreta A4 - Plaza A08;
865;15/0/9;Zona A - Torreta A4 - Plaza A09;
866;15/0;Zona A;
867;15/0/10;Zona A - Torreta A5 - Plaza A10;
868;15/0/11;Zona A - Torreta A5 - Plaza A11;
869;15/0/12;Zona A - Torreta A6 - Plaza A12;
870;15/0/13;Zona A - Torreta A6 - Plaza A13;
871;15/0/14;Zona A - Torreta A7 - Plaza A14;
872;15/0/15;Zona A - Torreta A7 - Plaza A15;
873;15/0/16;Zona A - Torreta A8 - Plaza A16;
874;15/0/17;Zona A - Torreta A8 - Plaza A17;
875;15/0/18;Zona A - Torreta A8 - Plaza A18;
876;15/1;Zona B;
877;15/1/1;Zona B - Torreta B1 - Plaza A19;
878;15/1/2;Zona B - Torreta B1 - Plaza A20;
879;15/1/3;Zona B - Torreta B2 - Plaza A21;
880;15/1/4;Zona B - Torreta B2 - Plaza A22;
881;15/1/5;Zona B - Torreta B3 - Plaza A23;
882;15/1/6;Zona B - Torreta B3 - Plaza A24;
883;15/1/7;Zona B - Torreta B4 - Plaza A25;
884;15/1/8;Zona B - Torreta B4 - Plaza A26;
885;15/1/9;Zona B - Torreta B5 - Plaza A27;
886;15/1/10;Zona B - Torreta B5 - Plaza A28;
887;15/1/11;Zona B - Torreta B6 - Plaza A29/30;
888;15/2;Zona X;
889;15/2/1;Zona X - Torreta X1 - Plaza X01;
890;15/2/2;Zona X - Torreta X1 - Plaza X02;
891;15/2/3;Zona X - Torreta X1 - Plaza X03;
892;15/2/4;Zona X - Torreta X2 - Plaza X04;
893;15/2/5;Zona X - Torreta X2 - Plaza X05;
894;15/2/6;Zona X - Torreta X2 - Plaza X06;
895;15/3;Zona C-D-E;
896;15/3/1;Zona C-D-E - Torreta C1 - Plaza C01;
897;15/3/2;Zona C-D-E - Torreta C1 - Plaza C02;
898;15/3/3;Zona C-D-E - Torreta C2 - Plaza C03;
899;15/3/4;Zona C-D-E - Torreta C2 - Plaza C04;
900;15/3/5;Zona C-D-E - Torreta C3 - Plaza C05;
901;15/3/6;Zona C-D-E - Torreta C3 - Plaza C06;
902;15/3/7;Zona C-D-E - Torreta C4 - Plaza C07;
903;15/3/8;Zona C-D-E - Torreta C4 - Plaza C08;
904;15/3/9;Zona C-D-E - Torreta C5 - Plaza C09;
905;15/3/10;Zona C-D-E - Torreta C5 - Plaza C10;
906;15/3/11;Zona C-D-E - Torreta C6 - Plaza C11;
907;15/3;Zona C-D-E;
908;15/3/12;Zona C-D-E - Torreta C6 - Plaza C12;
909;15/3/13;Zona C-D-E - Torreta D1 - Plaza C13;
910;15/3/14;Zona C-D-E - Torreta D1 - Plaza C14;
911;15/3/15;Zona C-D-E - Torreta D2 - Plaza C15;
912;15/3/16;Zona C-D-E - Torreta D2 - Plaza C16;
913;15/3/17;Zona C-D-E - Torreta D3 - Plaza C17;
914;15/3/18;Zona C-D-E - Torreta D3 - Plaza C18;
915;15/3/19;Zona C-D-E - Torreta D4 - Plaza C19;
916;15/3/20;Zona C-D-E - Torreta D4- Plaza C20;
917;15/4;Zona F-G;
918;15/4/1;Zona F-G - Bungalow 1 - Plaza B01;
919;15/4/2;Zona F-G - Bungalow 2 - Plaza B02;
920;15/4/3;Zona F-G - Bungalow 3 - Plaza B03;
921;15/4/4;Zona F-G - Bungalow 4 - Plaza B04;
922;15/4/5;Zona F-G - Bungalow 5 - Plaza B05;
923;15/4/6;Zona F-G - Bungalow 6 - Plaza B06;
924;15/4/7;Zona F-G - Bungalow 7 - Plaza B07;
925;15/4/8;Zona F-G - Bungalow 8 - Plaza B08;
926;15/4/9;Zona F-G - Bungalow 9 - Plaza B09;
927;15/5;Zona H;
928;15/5/1;Zona H - Torreta H1 - Plaza D01;
929;15/5/2;Zona H - Torreta H1 - Plaza D02;
930;15/5/3;Zona H - Torreta H2 - Plaza D03;
931;15/5/4;Zona H - Torreta H2 - Plaza D04;
932;15/5/5;Zona H - Torreta H3 - Plaza D05;
933;15/5/6;Zona H - Torreta H3 - Plaza D06;
934;15/5/7;Zona H - Torreta H4 - Plaza D07;
935;15/5/8;Zona H - Torreta H4 - Plaza D08;
936;15/5/9;Zona H - Torreta H5 - Plaza D09;
937;15/5/10;Zona H - Torreta H5 - Plaza D10;
938;15/5/11;Zona H - Torreta H5 - Plaza D11;
939;15/6;Zona I;
940;15/6/1;Zona I - Torreta I1 - Plaza D12;
941;15/6/2;Zona I - Torreta I1 - Plaza D13;
942;15/6/3;Zona I - Torreta I2 - Plaza D14;
943;15/6/4;Zona I - Torreta I2 - Plaza D15;
944;15/6/5;Zona I - Torreta I3 - Plaza D16;
945;15/6/6;Zona I - Torreta I3 - Plaza D17;
946;15/6/7;Zona I - Torreta I4 - Plaza D18;
947;15/6/8;Zona I - Torreta I4 - Plaza D19;
948;15/6;Zona I;
949;15/6/9;Zona I - Torreta I5 - Plaza D20;
950;15/6/10;Zona I - Torreta I5 - Plaza D21;
951;15/6/11;Zona I - Torreta I6 - Plaza D22;
952;15/6/12;Zona I - Torreta I6 - Plaza D23;
953;15/7;Zona J-K;
954;15/7/1;Zona J-K - Torreta J1 - Plaza E01;
955;15/7/2;Zona J-K - Torreta J1 - Plaza E02;
956;15/7/3;Zona J-K - Torreta J2 - Plaza E03;
957;15/7/4;Zona J-K - Torreta J2 - Plaza E04;
958;15/7/5;Zona J-K - Torreta J3 - Plaza E05;
959;15/7/6;Zona J-K - Torreta J3 - Plaza E06;
960;15/7/7;Zona J-K - Torreta J4 - Plaza E07;
961;15/7/8;Zona J-K - Torreta J4 - Plaza E08;
962;15/7/9;Zona J-K - Torreta J5 - Plaza E09;
963;15/7/10;Zona J-K - Torreta J5 - Plaza E10;
964;15/7/11;Zona J-K - Torreta J6 - Plaza E11;
965;15/7/12;Zona J-K - Torreta J6 - Plaza E12;
966;15/7/13;Zona J-K - Torreta J7 - Plaza E13;
967;15/7/14;Zona J-K - Torreta J7 - Plaza E14;
968;15/7/15;Zona J-K - Torreta J8 - Plaza E15;
969;15/7/16;Zona J-K - Torreta J8 - Plaza E16;
970;15/7/17;Zona J-K - Torreta J9 - Plaza E17;
971;15/7/18;Zona J-K - Torreta J9 - Plaza E18;
